Date,open,high,low,close,volume
2/23/2021,54087.67,54183.59,44892.56,48891,169375.0251
2/24/2021,48891,51374.99,46988.69,49676.2,91881.20925
2/25/2021,49676.21,52041.73,46674.34,47073.73,83310.67312
2/26/2021,47073.73,48424.11,44106.78,46276.87,109423.2007
2/27/2021,46276.88,48394,45000,46106.43,66060.83429
2/28/2021,46103.67,46638.46,43000,45135.66,83055.36904
3/1/2021,45134.11,49790,44950.53,49587.03,85086.11165
3/2/2021,49595.76,50200,47047.6,48440.65,64221.06214
3/3/2021,48436.61,52640,48100.71,50349.37,81035.91371
3/4/2021,50349.37,51773.88,47500,48374.09,82649.71683
3/5/2021,48374.09,49448.93,46300,48751.71,78192.49637
3/6/2021,48746.81,49200,47070,48882.2,44399.23424
3/7/2021,48882.2,51450.03,48882.2,50971.75,55235.02803
3/8/2021,50959.11,52402.78,49274.67,52375.17,66987.35966
3/9/2021,52375.18,54895,51789.41,54884.5,71656.73708
3/10/2021,54874.67,57387.69,53005,55851.59,84749.23894
3/11/2021,55851.59,58150,54272.82,57773.16,81914.81286
3/12/2021,57773.15,58081.51,54962.84,57221.72,73405.40605
3/13/2021,57221.72,61844,56078.23,61188.39,83245.09135
3/14/2021,61188.38,61724.79,58966.78,58968.31,52601.05275
3/15/2021,58976.08,60633.43,54600,55605.2,102771.4273
3/16/2021,55605.2,56938.29,53271.34,56900.75,77986.69436
3/17/2021,56900.74,58974.73,54123.69,58912.97,70421.62084
3/18/2021,58912.97,60129.97,57023,57648.16,66580.40668
3/19/2021,57641,59468,56270.74,58030.01,52392.65296
3/20/2021,58030.01,59880,57820.17,58102.28,44476.94178
3/21/2021,58100.02,58589.1,55450.11,57351.56,48564.47027
3/22/2021,57351.56,58430.73,53650,54083.25,62581.62617
3/23/2021,54083.25,55830.9,53000,54340.89,59789.36543
3/24/2021,54342.8,57200,51700,52303.65,83537.46502
3/25/2021,52303.66,53287,50427.56,51293.78,87400.53454
3/26/2021,51293.78,55073.46,51214.6,55025.59,63813.77469
3/27/2021,55025.59,56700.36,53950,55817.14,50105.47506
3/28/2021,55817.14,56559.75,54691.84,55777.63,39050.38751
3/29/2021,55777.65,58405.82,54800.01,57635.47,67857.9374
3/30/2021,57635.46,59368,57071.35,58746.57,55122.44312
3/31/2021,58746.57,59800,56769,58740.55,60975.54267
4/1/2021,58739.46,59490,57935.45,58720.44,47415.61722
4/2/2021,58720.45,60200,58428.57,58950.01,47382.41878
